lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
593371.4487,2743337.075,built-up,-0.04369214,0.93088293,-0.16724755,-0.072271995,0.04369214,-0.04369214,0.053692088,0.03579559,-0.036503315,-0.013243505,0.05902849
594521.5191,2742327.36,built-up,-0.027685393,0.91263753,-0.24861878,-0.07241347,0.027685393,-0.027685393,0.06851301,0.045676447,-0.035031226,-0.004967345,0.06744613
595513.1477,2743586.545,built-up,0.07081928,0.6675806,-1.6372262,-0.11348833,-0.07081928,0.07081928,0.29900688,0.19934234,-0.031024268,0.17347826,0.2869666
596216.6624,2745156.891,built-up,0.10919256,1.1216027,0.15294985,0.20690525,-0.10919256,0.10919256,-0.08597203,-0.05731641,-0.029191162,0.14133838,-0.06556686
593716.4419,2745139.678,built-up,-0.11950346,0.6364593,-0.8457622,-0.3084308,0.11950346,-0.11950346,0.33321905,0.22215079,-0.0780408,-0.06364114,0.24478965
594427.5743,2745614.164,built-up,0.003157266,0.80410004,-0.65388983,-0.09638667,-0.003157266,0.003157266,0.16287513,0.108585976,-0.03391531,0.061825406,0.15821208
597165.7041,2742267.438,built-up,0.15194397,0.5530987,-4.04852,-0.12039634,-0.15194397,0.15194397,0.4316137,0.28774816,-0.029096162,0.26523158,0.38562793
597005.2003,2744771.048,built-up,-0.03500931,0.8475492,-1.2996842,-0.12848209,0.03500931,-0.03500931,0.12377013,0.08251514,-0.013196009,-0.000655687,0.12782641
596658.4299,2743281.426,built-up,0.05371517,0.6552813,-1.3687803,-0.13698503,-0.05371517,0.05371517,0.31237382,0.20825383,-0.042064518,0.17134868,0.3083337
595525.0596,2741864.629,built-up,-0.022490183,0.8017367,-0.88443995,-0.13011837,0.022490183,-0.022490183,0.16505642,0.11004009,-0.026780458,0.01658279,0.14670116
594541.3305,2739431.421,built-up,-0.009650422,0.8089115,-0.95282257,-0.11610819,0.009650422,-0.009650422,0.15845236,0.10563727,-0.024142312,0.043236174,0.15934436
593733.9824,2742556.809,built-up,-0.009857137,0.8601877,-0.50025105,-0.08263116,0.009857137,-0.009857137,0.11273782,0.07516032,-0.028351659,0.0347613,0.117392465
592736.3381,2742158.712,built-up,-0.033496942,0.8782074,-0.38755953,-0.09397502,0.033496942,-0.033496942,0.09726538,0.06484512,-0.030149283,0.005824895,0.099799916
592515.6951,2743096.497,built-up,-0.023212783,0.8550026,-0.5032875,-0.095443904,0.023212783,-0.023212783,0.117245704,0.07816561,-0.027210226,0.003152667,0.09859657
592746.8464,2740593.344,built-up,-0.073403455,0.80726504,-1.1149156,-0.188998,0.073403455,-0.073403455,0.1599632,0.10664453,-0.028656865,0.001664975,0.19066298
593601.6931,2740990.468,built-up,0.057422668,0.7273766,-0.90419483,-0.085722804,-0.057422668,0.057422668,0.2367321,0.15782513,-0.04157116,0.15314044,0.23886324
594177.6098,2740368.204,built-up,-0.017300438,0.8747794,-0.40100604,-0.077078454,0.017300438,-0.017300438,0.10018592,0.06679219,-0.027523823,0.007916037,0.084994495
594887.3681,2741077.51,built-up,-0.019246861,0.9450133,-0.15079819,-0.04919602,0.019246861,-0.019246861,0.042404894,0.028270617,-0.035393503,0.016870722,0.06606674
594511.338,2743814.467,built-up,-0.048624467,0.9240173,-0.2231058,-0.08905923,0.048624467,-0.048624467,0.05923609,0.03949169,-0.033612616,-0.018641565,0.070417665
594358.2838,2745300.599,built-up,-0.04581453,0.90414995,-0.29585147,-0.09862683,0.04581453,-0.04581453,0.075504415,0.050337456,-0.03509696,-0.022805564,0.075821266
597301.4338,2743285.943,built-up,-0.024423016,0.8276756,-0.83477235,-0.11877428,0.024423016,-0.024423016,0.14142601,0.09428609,-0.021985918,0.01651225,0.13528652
605052.9455,2729253.385,built-up,0.009635367,0.70598805,-1.6680822,-0.15052018,-0.009635367,0.009635367,0.2585061,0.17234117,-0.022033555,0.08406362,0.23458378
604192.3717,2729559.995,built-up,0.019432101,0.6952346,-2.3416212,-0.14452747,-0.019432101,0.019432101,0.2696607,0.17977773,-0.009617832,0.11325876,0.25778624
605259.9316,2720801.441,built-up,-0.045278136,0.85645324,-0.544281,-0.12144344,0.045278136,-0.045278136,0.115982026,0.07732312,-0.027603092,-0.013080363,0.10836308
607989.6141,2719491.68,built-up,-0.042071443,0.835451,-2.1214895,-0.15096861,0.042071443,-0.042071443,0.13447276,0.08965043,-0.015396534,0.001383017,0.15235162
569050.367,2691538.977,built-up,0.025165455,0.7152307,-1.4476136,-0.12929484,-0.025165455,0.025165455,0.24903004,0.16602388,-0.02521988,0.11040311,0.23969796
571279.9845,2690219.597,built-up,-0.052376837,0.7703758,-4.701225,-0.19194925,0.052376837,-0.052376837,0.19455148,0.12970367,-0.008599567,0.017295131,0.20924439
571475.6837,2694055.483,built-up,-0.03568425,0.8494061,-1.0227914,-0.1258653,0.03568425,-0.03568425,0.12213963,0.08142825,-0.016555643,-0.003682708,0.122182585
570981.3161,2692565.983,built-up,-0.049020763,0.86586875,-1.030699,-0.13915527,0.049020763,-0.049020763,0.10782774,0.07188675,-0.021035286,-0.014159004,0.12499626
570199.6147,2691153.336,built-up,-0.045779686,0.7244235,-6.107595,-0.21780175,0.045779686,-0.045779686,0.23970689,0.1598079,-0.01675309,0.049881946,0.2676837
569630.9689,2690133.102,built-up,0.039926246,0.61531645,-5.430304,-0.19277532,-0.039926246,0.039926246,0.3572137,0.23814751,-0.01916283,0.1820087,0.37478402
570538.1793,2695146.444,built-up,-0.021132158,0.74787474,-6.642436,-0.17604035,0.021132158,-0.021132158,0.21636553,0.14424677,-0.009099181,0.060833793,0.23687415
571846.5162,2691631.206,built-up,-0.021866158,0.7865945,-2.0894644,-0.14319779,0.021866158,-0.021866158,0.17916851,0.119448185,-0.008657597,0.027962305,0.1711601
569980.2184,2692013.138,built-up,-0.009049614,0.6774216,-4.0225096,-0.19979903,0.009049614,-0.009049614,0.28845298,0.19230606,-0.0165689,0.07761823,0.27741724
571049.0727,2693348.956,built-up,0.011205269,0.72761935,-1.3316505,-0.13992037,-0.011205269,0.011205269,0.2364882,0.15766242,-0.030125828,0.095839135,0.2357595
