lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
593371.4487,2743337.075,built-up,-0.039067056,0.92415047,-0.18600267,-0.068558864,0.039067056,-0.039067056,0.059128057,0.03941974,-0.03384647,-0.010358805,0.05820006
594521.5191,2742327.36,built-up,-0.019855319,0.9393844,-0.14244944,-0.0370409,0.019855319,-0.019855319,0.046881326,0.03125506,-0.030363522,0.002624121,0.03966502
595513.1477,2743586.545,built-up,0.09261029,0.7412523,-0.72899914,-0.027864836,-0.09261029,0.09261029,0.22289205,0.14859863,-0.03632153,0.16056639,0.18843123
596216.6624,2745156.891,built-up,0.10122108,1.1903998,0.22401895,0.22343305,-0.10122108,0.10122108,-0.13038266,-0.086924665,-0.031325568,0.119203135,-0.10422992
593716.4419,2745139.678,built-up,-0.057974815,0.91358024,-0.35594127,-0.10553728,0.057974815,-0.057974815,0.06774029,0.045161292,-0.019678533,-0.040822685,0.064714596
594427.5743,2745614.164,built-up,0.00420938,0.8451524,-0.40511948,-0.061780546,-0.00420938,0.00420938,0.12587862,0.08392132,-0.033454824,0.055705957,0.1174865
597165.7041,2742267.438,built-up,0.04524469,0.7572066,-0.7231085,-0.06847229,-0.04524469,0.04524469,0.20724964,0.13817008,-0.033190336,0.11336577,0.18183807
597005.2003,2744771.048,built-up,-0.034149263,0.85290205,-0.8243941,-0.116470315,0.034149263,-0.034149263,0.119078934,0.07938785,-0.016153926,0.006870093,0.12334041
596658.4299,2743281.426,built-up,0.002274716,0.7324546,-0.90847117,-0.13642251,-0.002274716,0.002274716,0.23164126,0.1544314,-0.03876657,0.070604175,0.2070267
595525.0596,2741864.629,built-up,-0.042127993,0.8859472,-0.4145457,-0.09860519,0.042127993,-0.042127993,0.090710275,0.06047505,-0.022530328,0.003078996,0.10168419
594541.3305,2739431.421,built-up,0.025897672,0.8148148,-0.5223083,-0.06304682,-0.025897672,0.025897672,0.15305723,0.10204082,-0.03821032,0.08807009,0.15111691
593733.9824,2742556.809,built-up,-0.01305483,0.92961967,-0.20212156,-0.046301007,0.01305483,-0.01305483,0.05470912,0.03647369,-0.029813664,0.029231954,0.075532965
592736.3381,2742158.712,built-up,-0.031768344,0.9119241,-0.27459264,-0.07962345,0.031768344,-0.031768344,0.06909818,0.04606662,-0.032670308,0.002474167,0.08209762
592515.6951,2743096.497,built-up,-0.008251473,0.91660064,-0.24458258,-0.04675947,0.008251473,-0.008251473,0.065269634,0.04351421,-0.028580336,0.017536787,0.06429626
592746.8464,2740593.344,built-up,-0.06372316,0.854282,-0.65022236,-0.14819996,0.06372316,-0.06372316,0.11787394,0.07858458,-0.028042356,0.01294695,0.16114691
593601.6931,2740990.468,built-up,0.05686519,0.7720457,-0.56564474,-0.047956586,-0.05686519,0.05686519,0.19295351,0.1286391,-0.043985985,0.12809874,0.17605531
594177.6098,2740368.204,built-up,-0.01699269,0.9283417,-0.20216627,-0.052018397,0.01699269,-0.01699269,0.055739414,0.03716058,-0.032136895,0.02245286,0.07447126
594887.3681,2741077.51,built-up,0.011516207,0.96556705,-0.07077302,0.01134959,-0.011516207,0.011516207,0.026276382,0.017518083,-0.03303787,0.022080945,0.010731354
594511.338,2743814.467,built-up,-0.01765051,0.9490826,-0.10885712,-0.032460507,0.01765051,-0.01765051,0.03918456,0.026123768,-0.038494624,-0.000434075,0.032026432
594358.2838,2745300.599,built-up,-0.010052936,0.91110677,-0.26189512,-0.048603408,0.010052936,-0.010052936,0.06976923,0.046514016,-0.02611478,0.007961232,0.05656464
597301.4338,2743285.943,built-up,-0.048921984,0.8743627,-0.582918,-0.12338295,0.048921984,-0.048921984,0.10054156,0.067029335,-0.02496132,0.001184942,0.12456789
605052.9455,2729253.385,built-up,0.007052441,0.7771593,-0.83908045,-0.102555096,-0.007052441,0.007052441,0.18808255,0.12539153,-0.024925007,0.072715014,0.17527011
604192.3717,2729559.995,built-up,-0.025127824,0.77747893,-0.89434993,-0.13708192,0.025127824,-0.025127824,0.18777898,0.12518914,-0.024601392,0.060366955,0.19744888
605259.9316,2720801.441,built-up,-0.004199675,0.8693569,-0.44770727,-0.06439375,0.004199675,-0.004199675,0.10482734,0.069886684,-0.021893179,0.033737924,0.09813167
607989.6141,2719491.68,built-up,-0.05793668,0.8776406,-0.77127045,-0.13111961,0.05793668,-0.05793668,0.097747475,0.06516657,-0.014675928,-0.019150559,0.11196905
569050.367,2691538.977,built-up,0.04008192,0.7711205,-0.8066755,-0.07356711,-0.04008192,0.04008192,0.19383785,0.12922865,-0.029478977,0.111168995,0.1847361
571279.9845,2690219.597,built-up,-0.07241107,0.78643256,-2.1814067,-0.2011156,0.07241107,-0.07241107,0.17932022,0.11954966,-0.01672751,0.005570314,0.2066859
571475.6837,2694055.483,built-up,-0.020408163,0.88687694,-0.49199763,-0.081408866,0.020408163,-0.020408163,0.08992648,0.059952535,-0.019207941,0.013867641,0.095276505
570981.3161,2692565.983,built-up,-0.031809427,0.8934291,-0.43564513,-0.091831155,0.031809427,-0.031809427,0.08442474,0.056284603,-0.0237828,-0.002179071,0.089652084
570199.6147,2691153.336,built-up,-0.003615221,0.760006,5.4391317,-0.15273973,0.003615221,-0.003615221,0.2045353,0.13635977,0.009332449,0.063955106,0.21669483
569630.9689,2690133.102,built-up,0.09218613,0.56221163,-6.364837,-0.17511612,-0.09218613,0.09218613,0.42034498,0.28023624,-0.018981019,0.24124767,0.41636378
570538.1793,2695146.444,built-up,0.024490176,0.7603163,-1.1521322,-0.10354999,-0.024490176,0.024490176,0.2042339,0.13615945,-0.023634695,0.10119107,0.20474106
571846.5162,2691631.206,built-up,0.030295206,0.7072926,-1.1916746,-0.12193179,-0.030295206,0.030295206,0.25716174,0.17144534,-0.029282255,0.08192869,0.20386048
569980.2184,2692013.138,built-up,0.030023469,0.6454274,-2.2938905,-0.17527087,-0.030023469,0.030023469,0.32322678,0.21548966,-0.029649286,0.15279414,0.328065
571049.0727,2693348.956,built-up,0.031454004,0.74444544,-1.1755843,-0.10753811,-0.031454004,0.031454004,0.21973868,0.14649616,-0.02869155,0.11092536,0.21846347
598824.7612,2709874.674,built-up,-0.04546707,0.71271855,-2.5542681,-0.2193196,0.04546707,-0.04546707,0.2515952,0.16773416,-0.02756491,0.08774448,0.3070641
599398.8101,2709722.198,built-up,-0.07334963,0.8819261,-0.5504789,-0.14121251,0.07334963,-0.07334963,0.0941091,0.062740974,-0.021733383,-0.04837914,0.09283337
599686.3968,2709567.702,built-up,-0.0438861,0.91710883,-0.2795786,-0.07905412,0.0438861,-0.0438861,0.064854704,0.043237597,-0.017936273,-0.031040838,0.04801328
600263.2712,2709023.928,built-up,-0.04025501,0.8175176,-0.7377993,-0.13330357,0.04025501,-0.04025501,0.1505991,0.10040203,-0.024076868,0.002568738,0.1358723
600339.379,2708398.309,built-up,-0.07333998,0.7891203,-2.344049,-0.20539233,0.07333998,-0.07333998,0.17679743,0.1178678,-0.019941445,0.022261329,0.22765367
596083.0577,2743825.32,built-up,-0.025618417,0.90760106,-0.27274886,-0.07066885,0.025618417,-0.025618417,0.072653964,0.048437253,-0.031133384,0.00282315,0.073492
592793.5821,2744272.444,built-up,-0.005534112,0.81397307,-0.55720526,-0.09784209,0.005534112,-0.005534112,0.15382434,0.102552205,-0.037590727,0.07161113,0.16945322
596093.9528,2742259.939,built-up,0.07234195,0.70130086,-1.0894823,-0.079950035,-0.07234195,0.07234195,0.26335007,0.17557102,-0.032035485,0.14187774,0.22182778
606122.8517,2720260.075,built-up,0.056896932,0.71466756,-1.5819209,-0.10509983,-0.056896932,0.056896932,0.24960421,0.16640685,-0.028632382,0.15481818,0.259918
603116.5432,2720315.781,built-up,0.0189388,0.6670507,-3.8241003,-0.17537856,-0.0189388,0.0189388,0.29957846,0.19972357,-0.014952119,0.13642314,0.3118017
605693.0396,2729727.886,built-up,-0.03875541,0.85376364,-0.52604383,-0.11013822,0.03875541,-0.03875541,0.11832623,0.07888619,-0.024113934,0.02528352,0.13542174
603484.2013,2728615.419,built-up,0.124080524,0.6034097,-1.1398733,-0.07641986,-0.124080524,0.124080524,0.37100282,0.24734186,-0.045306448,0.2535348,0.32995468
621988.9784,2714675.7,vegetation,0.19947638,0.43024972,-6.3302426,-0.16736849,-0.19947638,0.19947638,0.5975224,0.39835718,-0.032047518,0.36424944,0.53161794
621832.8101,2716161.595,vegetation,0.15185294,0.50595796,-4.312279,-0.15098493,-0.15185294,0.15185294,0.49207568,0.3280583,-0.029610993,0.28917232,0.44015726
622037.3129,2717337.535,vegetation,0.21505071,0.5803563,-1.1151596,-0.001301142,-0.21505071,0.21505071,0.39829433,0.26553738,-0.057571623,0.3020403,0.30334145
622375.3134,2719610.533,vegetation,0.1321117,0.5267458,-2.5026493,-0.14269301,-0.1321117,0.1321117,0.4649519,0.30997577,-0.03573044,0.28360128,0.4262943
622511.5775,2720394.503,vegetation,0.19805044,0.44859874,-6.447448,-0.14852363,-0.19805044,0.19805044,0.57095414,0.3806446,-0.02406502,0.36254454,0.51106817
621416.9102,2722811.516,vegetation,0.18979225,0.49025398,-2.9353743,-0.119907714,-0.18979225,0.18979225,0.51306695,0.34205312,-0.043168318,0.32790822,0.44781595
621100.7089,2726252.967,vegetation,0.17047614,0.6139695,-0.99412245,-0.024313949,-0.17047614,0.17047614,0.35876024,0.23918079,-0.055211347,0.26793066,0.29224458
619960.8388,2725695.145,vegetation,0.22401966,0.5310749,-1.6556408,-0.03171794,-0.22401966,0.22401966,0.45939523,0.30627185,-0.046195105,0.33292452,0.36464247
616144.3742,2728637.244,vegetation,0.12846997,0.80701756,-0.2885383,0.06667691,-0.12846997,0.12846997,0.16018854,0.106796116,-0.06327577,0.183124,0.116447106
616926.5267,2729191.743,vegetation,0.21901004,0.47558057,-3.1977344,-0.094625466,-0.21901004,0.21901004,0.53308535,0.3553987,-0.0351102,0.36182854,0.456454
618655.0786,2727797.419,vegetation,0.113801904,0.5718927,-1.8512248,-0.12862629,-0.113801904,0.113801904,0.40851638,0.27235147,-0.041839916,0.25061208,0.37923837
